code;commune;archipel
12;Arue;IDV
14;Bora Bora;ISLV
15;Faaa;IDV
16;Fakarava;Tuamotu
19;Gambier;Tuamotu
20;Hao;Tuamotu
22;Hitia O Te Ra;IDV
23;Hiva Oa;Marquises
24;Huahine;ISLV
25;Mahina;IDV
26;Makemo;Tuamotu
29;Moorea;IDV
31;Nuku Hiva;Marquises
33;Paea;IDV
34;Papara;IDV
35;Papeete;IDV
36;Pirae;IDV
38;Punaauia;IDV
39;Raivavae;Australes
40;Rangiroa;Tuamotu
43;Rimatara;Australes
44;Rurutu;Australes
45;Tahaa;ISLV
47;Taiarapu-Est;IDV
48;Taiarapu-Ouest;IDV
50;Taputapuatea;ISLV
52;Teva I Uta;IDV
53;Tubuai;Australes
54;Tumaraa;ISLV
57;Ua Pou;Marquises
58;Uturoa;Marquises
