gstratum,sex,agecat,N,pop,f,w
Autres,1,1,93,3299,0.0281903607153683,35.4731182795699
Autres,1,2,97,3829,0.0253329851136067,39.4742268041237
Autres,1,3,103,4611,0.0223378876599436,44.7669902912621
Autres,2,1,92,2933,0.0313672008182748,31.8804347826087
Autres,2,2,112,3519,0.0318272236430804,31.4196428571429
Autres,2,3,107,3861,0.0277130277130277,36.0841121495327
IDV,1,1,179,19406,0.00922395135525095,108.413407821229
IDV,1,2,250,23504,0.0106364874063989,94.016
IDV,1,3,430,28065,0.015321574915375,65.2674418604651
IDV,2,1,273,19089,0.0143014301430143,69.9230769230769
IDV,2,2,425,23812,0.0178481437930455,56.0282352941177
IDV,2,3,602,26989,0.0223053836748305,44.8322259136213
ISLV,1,1,69,3310,0.0208459214501511,47.9710144927536
ISLV,1,2,92,3928,0.0234215885947047,42.695652173913
ISLV,1,3,79,4938,0.0159983799108951,62.5063291139241
ISLV,2,1,73,3257,0.0224132637396377,44.6164383561644
ISLV,2,2,76,3809,0.0199527435022316,50.1184210526316
ISLV,2,3,79,4379,0.0180406485498972,55.4303797468355
